Conservation Unit,Brood Year,rec2,rec3,rec4,rec5,total rec (4+5),effective female spawners,DUID
Bowron-ES,1954,0,0.000652,0.062971,0.003293,0.066264,0.004566,2
Bowron-ES,1955,0,0.000043,0.092623,0.004289,0.096912,0.004472,2
Bowron-ES,1956,0,0,0.027586,0.01016,0.037746,0.003639,2
Bowron-ES,1957,0,0,0.041008,0.000958,0.041966,0.006416,2
Bowron-ES,1958,0,0.000043,0.017945,0.000167,0.018112,0.008297,2
Bowron-ES,1959,0,0.000011,0.056454,0.0054,0.061854,0.014614,2
Bowron-ES,1960,0,0.000004,0.017278,0.000451,0.017729,0.003506,2
Bowron-ES,1961,0,0,0.026835,0.001313,0.028148,0.003675,2
Bowron-ES,1962,0,0.000006,0.018822,0.002499,0.021321,0.003219,2
Bowron-ES,1963,0,0.000028,0.204973,0.009315,0.214288,0.011467,2
Bowron-ES,1964,0,0,0.025416,0.002091,0.027507,0.00069,2
Bowron-ES,1965,0,0.00005,0.01677,0.001029,0.017799,0.00117,2
Bowron-ES,1966,0,0,0.021196,0.001053,0.022249,0.001151,2
Bowron-ES,1967,0,0.000124,0.193857,0.012513,0.20637,0.013991,2
Bowron-ES,1968,0,0,0.037393,0.00615,0.043543,0.00171,2
Bowron-ES,1969,0,0,0.016003,0.001208,0.017211,0.001936,2
Bowron-ES,1970,0,0.000371,0.015826,0,0.015826,0.000497,2
Bowron-ES,1971,0,0,0.124161,0.000346,0.124507,0.010761,2
Bowron-ES,1972,0,0,0.01686,0.000111,0.016971,0.001969,2
Bowron-ES,1973,0,0,0.010538,0.000124,0.010662,0.002012,2
Bowron-ES,1974,0,0,0.015702,0.001729,0.017431,0.001046,2
Bowron-ES,1975,0,0.000122,0.121742,0.000634,0.122376,0.014735,2
Bowron-ES,1976,0,0,0.007112,0,0.007112,0.001069,2
Bowron-ES,1977,0,0,0.005875,0.009521,0.015396,0.001214,2
Bowron-ES,1978,0,0,0.039903,0.000724,0.040627,0.001678,2
Bowron-ES,1979,0,0,0.015714,0.01427,0.029984,0.016178,2
Bowron-ES,1980,0,0,0.039381,0.005789,0.04517,0.001376,2
Bowron-ES,1981,0,0,0.014724,0.001808,0.016532,0.000562,2
Bowron-ES,1982,0,0,0.003066,0.002211,0.005277,0.00099,2
Bowron-ES,1983,0,0.000017,0.036597,0.001535,0.038132,0.003484,2
Bowron-ES,1984,0,0.000012,0.044712,0.005879,0.050591,0.004909,2
Bowron-ES,1985,0,0,0.016449,0.002728,0.019177,0.00303,2
Bowron-ES,1986,0,0,0.020562,0.000636,0.021198,0.001396,2
Bowron-ES,1987,0,0.000132,0.018171,0.004289,0.02246,0.00566,2
Bowron-ES,1988,0,0,0.011669,0.001381,0.01305,0.007405,2
Bowron-ES,1989,0,0,0.004945,0.007897,0.012842,0.001367,2
Bowron-ES,1990,0,0,0.018847,0.012283,0.03113,0.005065,2
Bowron-ES,1991,0,0.000114,0.047542,0.001083,0.048625,0.00246,2
Bowron-ES,1992,0,0.000014,0.010556,0.002313,0.012869,0.001117,2
Bowron-ES,1993,0,0,0.016961,0.003506,0.020467,0.000592,2
Bowron-ES,1994,0,0,0.006743,0.004106,0.010849,0.001845,2
Bowron-ES,1995,0,0.00004,0.025092,0.002259,0.027351,0.013467,2
Bowron-ES,1996,0,0,0.020695,0.006081,0.026776,0.004055,2
Bowron-ES,1997,0,0,0.001335,0.003689,0.005024,0.002119,2
Bowron-ES,1998,0,0,0.011272,0.005729,0.017001,0.00283,2
Bowron-ES,1999,0,0,0.019734,0,0.019734,0.003295,2
Bowron-ES,2000,0,0,0.023887,0.001396,0.025283,0.00672,2
Bowron-ES,2001,0,0,0.004433,0.002392,0.006825,0.002752,2
Bowron-ES,2002,0,0,0.007279,0.000395,0.007674,0.004505,2
Bowron-ES,2003,0,0,0.003702,0.00009,0.003792,0.003038,2
Bowron-ES,2004,0,0,0.003008,0.003071,0.006079,0.000458,2
Bowron-ES,2005,0,0,0.001869,0.000382,0.002251,0.000866,2
Bowron-ES,2006,0,0,0.014783,0.002629,0.017412,0.000636,2
Bowron-ES,2007,0,0,0.008325,NA,NA,0.001075,2
Bowron-ES,2008,NA,NA,NA,NA,NA,0.000275,2
Bowron-ES,2009,NA,NA,NA,NA,NA,0.000843,2
Bowron-ES,2010,NA,NA,NA,NA,NA,0.004095,2
Bowron-ES,2011,NA,NA,NA,NA,NA,0.002037,2
Bowron-ES,2012,NA,NA,NA,NA,NA,0.00003,2
Bowron-ES,2013,NA,NA,NA,NA,NA,0.001924,2
Kamloops-ES,1948,0,0,0.062653,0.000684,0.063337,0.005524,11
Kamloops-ES,1949,0,0,0.036748,0.002878,0.039626,0.002109,11
Kamloops-ES,1950,0,0.000017,0.039549,0.00599,0.045539,0.001917,11
Kamloops-ES,1951,0,0.000008,0.034636,0.013009,0.047645,0.003364,11
Kamloops-ES,1952,0,0.000005,0.046167,0.00501,0.051177,0.005116,11
Kamloops-ES,1953,0,0,0.030285,0.001839,0.032124,0.0036,11
Kamloops-ES,1954,0,0.000231,0.038964,0.011293,0.050257,0.005352,11
Kamloops-ES,1955,0,0.000007,0.052497,0.00786,0.060357,0.002905,11
Kamloops-ES,1956,0,0,0.017335,0.008029,0.025364,0.005179,11
Kamloops-ES,1957,0,0.000072,0.018932,0.002011,0.020943,0.003314,11
Kamloops-ES,1958,0,0.000023,0.022591,0.000512,0.023103,0.006235,11
Kamloops-ES,1959,0,0,0.020417,0.003167,0.023584,0.005232,11
Kamloops-ES,1960,0,0.000064,0.014715,0.002049,0.016764,0.002252,11
Kamloops-ES,1961,0,0.000032,0.022139,0.002154,0.024293,0.003014,11
Kamloops-ES,1962,0,0,0.037568,0.002981,0.040549,0.004197,11
Kamloops-ES,1963,0,0.000018,0.00909,0.000265,0.009355,0.002693,11
Kamloops-ES,1964,0,0.000081,0.040283,0.008228,0.048511,0.002666,11
Kamloops-ES,1965,0,0.000073,0.018867,0.001686,0.020553,0.002669,11
Kamloops-ES,1966,0,0.00032,0.020483,0.002736,0.023219,0.002666,11
Kamloops-ES,1967,0,0.000037,0.008226,0.001395,0.009621,0.000358,11
Kamloops-ES,1968,0,0.000098,0.100888,0.005411,0.106299,0.003455,11
Kamloops-ES,1969,0,0.000381,0.010279,0.00371,0.013989,0.002577,11
Kamloops-ES,1970,0,0.000037,0.0083,0.000523,0.008823,0.001205,11
Kamloops-ES,1971,0,0.000033,0.00957,0.002116,0.011686,0.000223,11
Kamloops-ES,1972,0,0.000087,0.056973,0.000761,0.057734,0.004507,11
Kamloops-ES,1973,0,0.000022,0.001616,0.007723,0.009339,0.001345,11
Kamloops-ES,1974,0,0.000206,0.011541,0.000476,0.012017,0.001479,11
Kamloops-ES,1975,0,0.000007,0.005632,0.000797,0.006429,0.001391,11
Kamloops-ES,1976,0,0.000056,0.018539,0.001331,0.01987,0.003976,11
Kamloops-ES,1977,0,0,0.002728,0.003189,0.005917,0.000198,11
Kamloops-ES,1978,0,0.000253,0.011888,0.006562,0.01845,0.001343,11
Kamloops-ES,1979,0,0,0.001183,0.001856,0.003039,0.000693,11
Kamloops-ES,1980,0,0.000112,0.047827,0.003784,0.051611,0.002056,11
Kamloops-ES,1981,0,0.000029,0.007366,0.001244,0.00861,0.000312,11
Kamloops-ES,1982,0,0,0.002509,0.001233,0.003742,0.001533,11
Kamloops-ES,1983,0,0.000038,0.002855,0.001196,0.004051,0.001821,11
Kamloops-ES,1984,0,0.000325,0.032692,0.014038,0.04673,0.006701,11
Kamloops-ES,1985,0,0.000007,0.00283,0.001591,0.004421,0.001922,11
Kamloops-ES,1986,0,0,0.002902,0.000111,0.003013,0.00108,11
Kamloops-ES,1987,0,0,0.001399,0.002421,0.00382,0.000723,11
Kamloops-ES,1988,0,0,0.041783,0.008304,0.050087,0.009207,11
Kamloops-ES,1989,0,0.000007,0.007357,0.003935,0.011292,0.000925,11
Kamloops-ES,1990,0,0,0.00161,0.000934,0.002544,0.000412,11
Kamloops-ES,1991,0,0,0.000908,0.000553,0.001461,0.000264,11
Kamloops-ES,1992,0,0.000006,0.065321,0.002024,0.067345,0.004112,11
