Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
2010,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,8935,2655,2770,3510,66.98,2351,1159,1,
2010,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,13496,4010,4184,5302,66.98,3552,1750,1,
2011,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,18330,623,7928,9779,52.52,5136,4643,1,
2011,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,39081,950,12224,25907,82.21,21297,4610,1,
2011,Seton-Anderson,Haylmore Creek,T2,Anderson-Seton - Early Summer,22,0,7,15,82.21,12,3,1,
2012,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,13576,976,4264,8336,51.71,4311,4025,1,
2012,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,17603,1719,6093,9791,26.43,2588,7203,1,
2014,Seton-Anderson,Anderson Lake - shore,T2,Anderson-Seton - Early Summer,76,5,25,46,85.15,39,7,1,
2014,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,6553,481,2332,3739,85.87,3211,528,1,
2014,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,10299,692,3448,6160,85.15,5245,915,1,
2014,Seton-Anderson,Haylmore Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
2014,Seton-Anderson,Spruce Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
2008,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,9532,114,4600,4818,23.08,1112,3706,1,
2008,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,5486,66,2647,2773,23.08,640,2133,1,
2015,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,7479,810,2728,3941,88.39,3484,457,1,
2015,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,12755,1224,5058,6473,95.15,6159,314,1,
2015,Seton-Anderson,Haylmore Creek,T2,Anderson-Seton - Early Summer,70,7,28,35,95.15,33,2,1,
2015,Seton-Anderson,Spruce Creek,T2,Anderson-Seton - Early Summer,22,2,9,11,95.15,10,1,1,
1938,Upper Fraser,Bowron River,,,,,,,,,,,
1939,Upper Fraser,Bowron River,,,,,,,,,,,
1940,Upper Fraser,Bowron River,,,,,,,,,,,
1941,Upper Fraser,Bowron River,,,,,,,,,,,
1942,Upper Fraser,Bowron River,,,,,,,,,,,
1943,Upper Fraser,Bowron River,,,,,,,,,,,
1944,Upper Fraser,Bowron River,,,,,,,,,,,
1945,Upper Fraser,Bowron River,,,,,,,,,,,
1946,Upper Fraser,Bowron River,,,,,,,,,,,
1947,Upper Fraser,Bowron River,,,,,,,,,,,
1948,Upper Fraser,Bowron River,,,,,,,,,,,
1949,Upper Fraser,Bowron River,,,,,,,,,,,
1950,Upper Fraser,Bowron River,,,,,,,,,,,
1951,Upper Fraser,Bowron River,,,,,,,,,,,
1952,Upper Fraser,Bowron River,,,,,,,,,,,
1953,Upper Fraser,Bowron River,,,,,,,,,,,
1954,Upper Fraser,Bowron River,,,,,,,,,,,
1955,Upper Fraser,Bowron River,,,,,,,,,,,
1956,Upper Fraser,Bowron River,,,,,,,,,,,
1957,Upper Fraser,Bowron River,,,,,,,,,,,
1958,Upper Fraser,Bowron River,,,,,,,,,,,
1959,Upper Fraser,Bowron River,,,,,,,,,,,
1960,Upper Fraser,Bowron River,,,,,,,,,,,
1961,Upper Fraser,Bowron River,,,,,,,,,,,
1962,Upper Fraser,Bowron River,,,,,,,,,,,
1963,Upper Fraser,Bowron River,,,,,,,,,,,
1964,Upper Fraser,Bowron River,,,,,,,,,,,
1965,Upper Fraser,Bowron River,,,,,,,,,,,
1966,Upper Fraser,Bowron River,,,,,,,,,,,
1967,Upper Fraser,Bowron River,,,,,,,,,,,
1968,Upper Fraser,Bowron River,,,,,,,,,,,
1969,Upper Fraser,Bowron River,,,,,,,,,,,
1970,Upper Fraser,Bowron River,,,,,,,,,,,
1971,Upper Fraser,Bowron River,,,,,,,,,,,
1972,Upper Fraser,Bowron River,,,,,,,,,,,
1973,Upper Fraser,Bowron River,,,,,,,,,,,
1974,Upper Fraser,Bowron River,,,,,,,,,,,
1975,Upper Fraser,Bowron River,,,,,,,,,,,
1976,Upper Fraser,Bowron River,,,,,,,,,,,
1977,Upper Fraser,Bowron River,,,,,,,,,,,
1978,Upper Fraser,Bowron River,,,,,,,,,,,
1979,Upper Fraser,Bowron River,,,,,,,,,,,
1980,Upper Fraser,Bowron River,,,,,,,,,,,
1981,Upper Fraser,Bowron River,,,,,,,,,,,
1982,Upper Fraser,Bowron River,,,,,,,,,,,
1983,Upper Fraser,Bowron River,,,,,,,,,,,
1984,Upper Fraser,Bowron River,,,,,,,,,,,
1985,Upper Fraser,Bowron River,,,,,,,,,,,
1986,Upper Fraser,Bowron River,,,,,,,,,,,
1987,Upper Fraser,Bowron River,,,,,,,,,,,
1988,Upper Fraser,Bowron River,,,,,,,,,,,
1989,Upper Fraser,Bowron River,,,,,,,,,,,
1990,Upper Fraser,Bowron River,,,,,,,,,,,
1991,Upper Fraser,Bowron River,,,,,,,,,,,
1992,Upper Fraser,Bowron River,,,,,,,,,,,
1993,Upper Fraser,Bowron River,,,,,,,,,,,
