Proposed DU Name,DUID,Year,EFS
Harrison River (River-Type),23,2012,32895
Harrison River (River-Type),23,2013,78023
Harrison River (River-Type),23,2014,238373
Harrison River (River-Type),23,2015,58297
Kamloops-ES,11,1950,1917
Kamloops-ES,11,1951,3364
Kamloops-ES,11,1952,5116
Kamloops-ES,11,1953,3600
Kamloops-ES,11,1954,5352
Kamloops-ES,11,1955,2905
Kamloops-ES,11,1956,5179
Kamloops-ES,11,1957,3314
Kamloops-ES,11,1958,6235
Kamloops-ES,11,1959,5232
Kamloops-ES,11,1960,2252
Kamloops-ES,11,1961,3014
Kamloops-ES,11,1962,4197
Kamloops-ES,11,1963,2693
Kamloops-ES,11,1964,2666
Kamloops-ES,11,1965,2669
Kamloops-ES,11,1966,2666
Kamloops-ES,11,1967,358
Kamloops-ES,11,1968,3455
Kamloops-ES,11,1969,2577
Kamloops-ES,11,1970,1205
Kamloops-ES,11,1971,223
Kamloops-ES,11,1972,4507
Kamloops-ES,11,1973,1345
Kamloops-ES,11,1974,1479
Kamloops-ES,11,1975,1391
Kamloops-ES,11,1976,3976
Kamloops-ES,11,1977,198
Kamloops-ES,11,1978,1343
Kamloops-ES,11,1979,693
Kamloops-ES,11,1980,2056
Kamloops-ES,11,1981,312
Kamloops-ES,11,1982,1533
Kamloops-ES,11,1983,1821
Kamloops-ES,11,1984,6701
Kamloops-ES,11,1985,1922
Kamloops-ES,11,1986,1080
Kamloops-ES,11,1987,723
Kamloops-ES,11,1988,9207
Kamloops-ES,11,1989,925
Kamloops-ES,11,1990,412
Kamloops-ES,11,1991,264
Kamloops-ES,11,1992,4112
Kamloops-ES,11,1993,2934
Kamloops-ES,11,1994,800
Kamloops-ES,11,1995,682
Kamloops-ES,11,1996,21381
Kamloops-ES,11,1997,2367
Kamloops-ES,11,1998,3585
Kamloops-ES,11,1999,3499
Kamloops-ES,11,2000,27668
Kamloops-ES,11,2001,16025
Kamloops-ES,11,2002,8402
Kamloops-ES,11,2003,4890
